#verbs extracted from القاعدة الصرفية
# الحقل الثالث يمثل رقم جدول التصريف في القاعدة الصرفية
# الحقل الثاني: لازم، متعدي أو مشترك بينهما
verb	transitive	Table-base
اِبْتَسَلَ	ل	114
اِسْتَبْسَلَ	ل	129
بَسَمَ	ل	2
تَبَسَّمَ	ل	126
اِبْتَسَمَ	ل	114
أَبْسَنَ	ل	102
بَشَرَ	ل/م	1
بَشُرَ	ل	7
بَشِرَ	ل	4
بَشَّرَ	ل/م	112
باشَرَ	م	109
أَبْشَرَ	ل/م	102
تَبَشَّرَ	ل	126
تَباشَرَ	ل	123
اِسْتَبْشَرَ	ل/م	129
بَشَّ	ل	10
أَبَشَّ	ل	103
تَبَشَّشَ	ل	126
بَشِعَ	ل	4
أَبْشَعَ	م	102
اِسْتَبْشَعَ	م	129
بَشَقَ	ل/م	2
بَشَكَ	ل/م	2
أَبْشَكَ	م	102
اِبْتَشَكَ	ل/م	114
بَشِمَ	ل	4
أَبْشَمَ	م	102
بَصُرَ	ل	7
بَصِرَ	ل	4
بَصَّرَ	ل/م	112
باصَرَ	م	109
أَبْصَرَ	ل/م	102
تَبَصَّرَ	ل/م	126
تَباصَرَ	ل	123
اِسْتَبْصَرَ	ل/م	129
بَصَّ	ل	9
بَصَّصَ	ل	112
تَبَصَّصَ	ل	126
بَصَعَ	ل	3
تَبَصَّعَ	ل	126
بَصَقَ	ل/م	1
بَصَّلَ	م	112
تَبَصَّلَ	ل/م	126
بَصَمَ	ل	2
بَصا	ل/م	117
بَضَّ	ل	8
بَضَّ	ل/م	9
بَضَّ	ل	10
بَضَّضَ	ل	112
تَبَضَّضَ	م	126
اِبْتَضَّ	م	115
بَضَعَ	ل/م	2
بَضَّعَ	م	112
باضَعَ	م	109
أَبْضَعَ	م	102
